pp_name,premises,latitude,longitude
Dendy,St Leonards College,-37.92959389,145.0077738
Dereel,Dereel Community Centre,-37.81986504,143.7530205
Derinya,Derinya Primary School,-38.17453065,145.1206994
Derinya,Derinya Primary School,-38.17453065,145.1206994
Derrimut,Derrimut Heath Primary School,-37.86001905,144.6913673
Derrinallum,Derrinallum Community Hall,-37.94779928,143.2171372
Devenish,Devenish Primary School,-36.32644431,145.8941895
Devon Meadows,Devon Meadows Community Hall,-38.16247504,145.3023792
Devon North,Devon North Public Hall,-38.51993048,146.6586502
Dhurringile,Dhurringile Primary School,-36.54304135,145.2395644
Diamond Creek,Sacred Heart Parish Hall,-37.67247103,145.1580666
Diamond Creek East,Diamond Valley College,-37.67320097,145.1673577
Diggers Rest,Diggers Rest Primary School,-37.62254366,144.7095466
Dimboola,Dimboola Uniting Church,-36.45116338,142.0261999
Dingee,Dingee Memorial Hall,-36.36799732,144.232027
Dingley,Dingley Primary School,-37.98226346,145.1327619
Dingwall,Dingwall Hall,-35.80982096,143.8425121
Dixons Creek,Dixons Creek Recreation Reserve Hall,-37.60477817,145.4172065
Docklands,Library at the Dock,-37.82036989,144.94022
Donald,Donald Senior Citizens Centre,-36.36860561,142.9818251
Donburn,Donburn Primary School,-37.78747037,145.1654044
Doncaster,Doncaster Primary School,-37.78615426,145.1309624
Doncaster Central,Doncaster Secondary College,-37.78545386,145.1377841
Doncaster East,East Doncaster Secondary College,-37.78196528,145.1577751
Doncaster East,East Doncaster Secondary College,-37.78196528,145.1577751
Doncaster Gardens,Doncaster Gardens Primary School,-37.78267638,145.1489252
Doncaster Heights,Saints Peter and Paul Catholic Parish,-37.79091218,145.1523404
Doncaster South,Birralee Primary School,-37.79340821,145.1132137
Doncaster West,Vista Valley Kindergarten,-37.77788466,145.1030653
Donvale,Whitefriars College,-37.7924465,145.1983949
Dookie,Dookie Primary School,-36.33118658,145.6828652
Doreen,Ivanhoe Grammar School - Plenty Campus,-37.6030634,145.1160686
Dorset,Dorset Primary School,-37.81076426,145.2852088
Doveton North,Doveton College,-37.99077088,145.244123
Doveton West,Holy Family Catholic Primary School,-37.99087693,145.2387316
Dromana,Dromana Community Hall,-38.33657115,144.9583138
Dromana Beach,Dromana Senior Citizens Club,-38.3343133,144.9669154
Drouin,Drouin Primary School,-38.13317512,145.8544281
Drouin College,Drouin Secondary College,-38.14391839,145.8523709
Drouin South,Drouin South Primary School,-38.17113173,145.8265349
Drouin West,Drouin West Primary School,-38.08778125,145.871015
Drummond,Drummond Community Hall,-37.23609444,144.3317858
Drysdale,Drysdale Primary School,-38.1696276,144.5741366
Dumbalk,Dumbalk Public Hall,-38.53317361,146.0939782
Dunkeld,Sterling Place Dunkeld Community Centre,-37.65136748,142.3419332
Dunolly,Dunolly Senior Citizens Clubrooms,-36.85794378,143.7320772
Eagle Point,Eagle Point Primary School,-37.89231365,147.679935
Eaglehawk North,Eaglehawk North Primary School,-36.70732587,144.2379455
Eaglehawk West,Bendigo Badminton and Table Tennis Complex,-36.72554282,144.2491188
Eaglemont,Waratah Special Development School,-37.75672849,145.0416565
East Melbourne,Melbourne Unitarian Church,-37.81160403,144.984749
Eastmont,St James Primary School,-37.83702208,145.2096711
Eastwood,Eastwood Primary School,-37.81728634,145.2531397
Echuca,Echuca Primary School,-36.12842453,144.7469717
Echuca East,Echuca East Primary School,-36.13441826,144.7605206
Echuca South,Echuca Twin Rivers Specialist School,-36.13861163,144.7244821
Ecklin,Ecklin Hall,-38.38022733,142.9126021
Edenhope,Edenhope and District Community Centre,-37.03624297,141.2953885
Edithvale,Edithvale Primary School,-38.03708374,145.1136838
Edward,Brunswick Town Hall,-37.77182428,144.961221
Eildon,Eildon Community Centre,-37.23449363,145.9085639
Elaine,Elaine Mechanics Institute,-37.77701052,144.0306913
Eldorado,Eldorado Memorial Hall,-36.30814432,146.5201554
Elevation,Elevation Secondary College,-37.5982063,144.8894078
Elgar Park,Our Lady of Perpetual Succour School,-37.83026779,145.110903
Ellaswood,Wy Yung Community Hall,-37.7981083,147.5815498
Elliminyt,Elliminyt Primary Events and Education Centre,-38.36058794,143.5831953
Ellinbank,Ellinbank Primary School,-38.23906177,145.9357564
Elmhurst,Elmhurst Mechanics Hall,-37.17995685,143.2503385
Elmore,Elmore Athenaeum Hall,-36.49491897,144.6099955
Elphinstone,Elphinstone Recreation Reserve Hall,-37.09600024,144.3452215
Elsternwick,Wesley College Elsternwick Campus,-37.8895834,145.0091598
Elsternwick North,12th Caulfield Scout Hall,-37.88478934,145.0074173
Elsternwick South,Elsternwick Primary School,-37.89179248,144.9983899
Eltham,Eltham Primary School,-37.72484576,145.1480469
Eltham East,Eltham East Primary School,-37.71125638,145.154626
Eltham North,Eltham North Primary School,-37.70037669,145.1510518
Elwood,1st Elwood Scout Hall,-37.88483589,144.9868842
Elwood North,Elwood Primary School,-37.88224126,144.9880555
Emerald,Emerald Primary School,-37.93327004,145.4419876
Endeavour Hills,James Cook Primary School,-37.97900882,145.2456386
Endeavour Hills East,Southern Cross Primary School,-37.98852207,145.2643036
Endeavour Hills North,Chalcot Lodge Primary School,-37.96928391,145.2475035
Eppalock,Eppalock Primary School,-36.84198488,144.387555
Epping,Epping Primary School - High Street Campus,-37.64580179,145.0257326
Epping,Epping Primary School - High Street Campus,-37.64580179,145.0257326
Epping East,Epping Secondary College,-37.6449575,145.033167
Epping North,Creeds Farm Living and Learning Centre,-37.62619038,145.011343
Epping North West,Harvest Home Primary School,-37.62310838,145.00108
Epping Views,Epping Views Primary School,-37.63000824,145.0255429
Epping Views,Epping Views Primary School,-37.63000824,145.0255429
Epsom,Epsom Primary School,-36.70481197,144.3124073
Erica,Erica Memorial Hall,-37.97875479,146.371707
Eskdale,Eskdale Public Hall,-36.46446136,147.2523049
Essendon,St Therese's Catholic Primary School,-37.75150152,144.9104404
Essendon North,Essendon North Primary School,-37.74012972,144.9031296
Essendon North,Essendon North Primary School,-37.74012972,144.9031296
Essendon West,Essendon Keilor College - VCE Essendon Campus,-37.75436402,144.9025895
Essendon West,Essendon Keilor College - VCE Essendon Campus,-37.75436402,144.9025895
Essex Heights,Essex Heights Primary School,-37.86287664,145.115198
Euroa,Civic Hall Euroa,-36.75292755,145.5727061
Everton,Everton Public Hall,-36.43582419,146.5446313
Eynesbury,Eynesbury Primary School,-37.79054103,144.5485085
Fairfield,Fairfield Primary School,-37.77823805,145.0199398
Fairhills,Fairhills Primary School,-37.87021279,145.2664189
Fairy Hills,Ivanhoe Grammar School (Dodemaide Hall),-37.77277742,145.0441881
Fawkner,St Mark's Catholic Parish Primary School,-37.7159861,144.9639304
Fawkner North,John Fawkner Secondary College,-37.70255638,144.9727175
Fawkner Park,South Yarra Primary School,-37.84124414,144.984843
Featherbrook,Featherbrook P-9 College,-37.90053008,144.7275879
Ferntree Gully,Ferntree Gully Girl Guide Hall,-37.88093315,145.2956551
Ferntree Gully Central,Ferntree Gully Community Arts Centre,-37.88984857,145.2905844
Ferntree Gully Central,Ferntree Gully Community Arts Centre,-37.88984857,145.2905844
Ferntree Gully North,Ferntree Gully North Primary School,-37.87417184,145.2993478
Ferntree Gully Upper,Upper Ferntree Gully Primary School,-37.89591,145.31425
Ferntree Gully West,Wattleview Primary School,-37.87641862,145.2781301
Ferny Creek,Ferny Creek Primary School,-37.88441145,145.334927
Ferrars,South Melbourne Primary School,-37.82968531,144.9536342
Findon,Findon Primary School,-37.66674348,145.0511397
Findon,Findon Primary School,-37.66674348,145.0511397
Fish Creek,Fish Creek Memorial Hall,-38.69294717,146.0817233
Fitzroy,Fitzroy Primary School,-37.79956382,144.9815915
Fitzroy North,Mark Street Community Hall ,-37.78511944,144.9854044
Flamingo,The Knox School,-37.86412072,145.2197467
Flemington,St Brendans Primary School,-37.78455175,144.9319445
Flinders,St John's Anglican Church,-38.47162311,145.0112934
Flora Hill,Holy Trinity Anglican Hall,-36.7768628,144.2911524
Flowerdale,Flowerdale Primary School,-37.31712551,145.2907726
Footscray,Footscray High School - Barkly Campus,-37.79909119,144.8946935
Footscray Central,5th Footscray Scout Hall,-37.80857548,144.896473
Footscray East,Victoria University - Footscray Park Campus,-37.79378619,144.9004717
Footscray North,YMCA,-37.79496229,144.8802565
Footscray Park,Angliss Senior Citizens Hall,-37.79652721,144.9067092
Forest Hill,Holbury Childrens Centre,-37.83944657,145.1589943
Forrest,Forrest Public Hall,-38.51693805,143.7147207
Foster,Foster Secondary College,-38.65208368,146.1978215
Fountain Gate,Fountain Gate Primary School,-38.00967074,145.2952599
Frankston,St Francis Xavier Primary School,-38.14894933,145.1257486
Frankston Beach,St Pauls Anglican Church Hall,-38.14767852,145.1189051
Frankston East,Frankston East Primary School,-38.14652037,145.1467403
Frankston Forest,Monterey Secondary College,-38.12674568,145.1482713
Frankston Heights,Frankston Heights Primary School,-38.1618258,145.1472905
Frankston Rail,Chisholm Institute,-38.14400613,145.1266398
Frankston South,Frankston High School - Senior Campus,-38.16081362,145.1291261
Fyans Park,St Joseph's College - Edmund Rice Campus,-38.15124125,144.3309581
Fyansford,Kardinia International College,-38.11064045,144.3263843
Gaffney,Pascoe Vale Senior Citizens Centre,-37.72874678,144.9340973
Galvin Park,Wyndham Central College,-37.88807264,144.6530295
Gapsted,Gapsted Public Hall,-36.50809787,146.6762876
Gardenvale,Star of the Sea College,-37.89678877,144.9974094
Gardiner,St Roch's Parish Primary School,-37.85768246,145.0522948
Garfield,Garfield Primary School,-38.09072702,145.6739059
Geelong,Geelong High School,-38.15242709,144.3726775
Geelong East,Geelong East Primary School,-38.17562599,144.3830851
Geelong West,Geelong West Town Hall,-38.14096724,144.3481522
Gellibrand River,Gellibrand Hall,-38.52022168,143.5381457
Gembrook,Gembrook Primary School,-37.95176548,145.5460243
Girgarre,Girgarre Primary School,-36.39835644,144.9737401
Gisborne,Gisborne Primary School,-37.49022966,144.5890432
Gisborne South,Gisborne Secondary College,-37.49618308,144.5854492
Gladeswood,Mulgrave Primary School,-37.93299092,145.1973406
Gladstone Park,Gladstone Park Secondary College,-37.68912849,144.8895309
Gladstone Views,Gladstone Views Primary School,-37.68962028,144.8973333
Gladysdale,Gladysdale Primary School,-37.82030778,145.6511427
Glen Eagles,Mossgiel Park Primary School,-37.96838512,145.2677491
Glen Eira,Glen Eira Town Hall - Auditorium,-37.87999152,145.0226459
Glen Iris,St Oswald's Church Hall,-37.86243659,145.0709534
Glen Iris South,Solway Primary School,-37.8722568,145.0729775
Glen Katherine,St Helena Secondary College,-37.68650076,145.1386123
Glen Nichol,Holy Trinity Church Hall,-37.77316602,144.9793673
Glen Park,Glen Park Community Centre,-37.83412757,145.2725549
Glen Waverley,Glen Waverley Primary School,-37.87457229,145.1675633
Glen Waverley Central,Glen Waverley Community Centre,-37.8887173,145.161755
Glen Waverley Lower,Brandon Park Community Centre - Sports Hall,-37.90374417,145.1650078
Glen Waverley South,Brentwood Secondary College,-37.89955785,145.1661374
Glen Waverley South,Brentwood Secondary College,-37.89955785,145.1661374
Glenbervie,Essendon Primary School,-37.75317191,144.9216089
Glenburn,Glenburn Community Centre,-37.41974574,145.4257787
Glendal,Glendal Primary School,-37.86708794,145.1591194
Glenferrie,Hawthorn Arts Centre (Chandelier Room),-37.82275352,145.0359651
Glenferrie Central,Glenferrie Primary School,-37.82400304,145.0339895
Glenferrie South,Erasmus School,-37.82701986,145.0313652
Glengala,Sunshine Heights Primary School,-37.79199383,144.8178435
Glengala South,Sunshine Special Development School,-37.80313089,144.8209598
Glengarry,Glengarry Primary School,-38.12766567,146.5714692
Glenhuntly East,Glen Huntly Primary School,-37.89338416,145.0454327
Glenhuntly East,Glen Huntly Primary School,-37.89338416,145.0454327
Glenlyon,Glenlyon Shire Hall,-37.29549623,144.2447457
Glenmaggie,Glenmaggie Mechanics Institute,-37.89496897,146.7512673
Glenorchy,Glenorchy Memorial Hall,-36.90801376,142.6622161
Glenorden,Wyndham Park Primary School,-37.88490913,144.6765595
Glenrowan,Glenrowan Primary School,-36.46018322,146.2219921
Glenroy,Glenroy College,-37.70481149,144.9288068
Glenroy East,St Thomas More School,-37.70785233,144.944492
Glenroy North,Glenroy Specialist School,-37.69952154,144.9192681
Glenroy West,Glenroy West Primary School,-37.70489734,144.9085377
Glenthompson,Glenthompson Memorial Hall,-37.63806391,142.5478798
Golden Beach,Golden Beach Community Hall,-38.2110347,147.4001567
Golden Square,Golden Square Primary School (Maple Street Campus),-36.770338,144.2567198
Golden Square,Golden Square Primary School (Maple Street Campus),-36.770338,144.2567198
Golden Square South,Golden Square Girl Guide Hall,-36.77655889,144.2519089
Golf Links,Golf Links Primary School,-37.73550147,145.0742836
Goonawarra,Goonawarra Primary School,-37.58051208,144.7509967
Goorambat,Goorambat Public Hall,-36.41114759,145.9227183
Goornong,Goornong Soldiers Memorial Hall,-36.6151487,144.5055462
Gordon,Gordon Public Hall,-37.58054824,144.1037768
Gormandale,Gormandale Mechanics Institute,-38.29452222,146.7018952
Goroke,Goroke Memorial Hall,-36.71828255,141.4741322
Gowanbrae,Gowanbrae Community House,-37.70220983,144.9000103
Gowrie Park,Belle Vue Park Primary School,-37.70111271,144.9438885
Gowrie Street,Gowrie Street Primary School,-36.36652557,145.3963057
Grantville,Grantville Hall,-38.40448703,145.5326695
Grassmere,Grassmere Primary School,-38.28616415,142.5228341
Great Western,Great Western Primary School,-37.14896252,142.8517789
Greenbrook,Epping Primary School - Greenbrook Campus,-37.65000502,145.0422861
Greenhills,Greenhills Primary School,-37.69238883,145.1189779
Greensborough,Greensborough Primary School,-37.70367092,145.0992904
Greensborough,Greensborough Primary School,-37.70367092,145.0992904
Greenvale,Greenvale Primary School,-37.64098722,144.8866256
Greenvale Park,Aitken College,-37.6277715,144.8919289
Greenvale South,Greenvale Recreation Centre,-37.65033587,144.8925507
Greythorn,Greythorn Primary School,-37.8023278,145.0960542
Greythorn,Greythorn Primary School,-37.8023278,145.0960542
Grovedale,Grovedale West Primary School,-38.20777414,144.3278101
Grovedale Central,Grovedale Primary School,-38.19756301,144.3476111
Grovedale East,Grovedale Uniting Church Hall,-38.20508044,144.3413164
Gruyere,Gruyere Cricket Pavillion,-37.73149293,145.4448571
Guildford,Guildford Public Hall,-37.14934062,144.1665799
Gumnut Gully,Gumnut Gully Preschool,-37.75985777,145.1799852
Gunbower,Gunbower Memorial Hall,-35.95669266,144.370004
Guthrie Street,Guthrie Street Primary School,-36.39805371,145.3905019
Haddon,Haddon Recreation Centre,-37.58841846,143.7223634
Hadfield,Westbreen Primary School,-37.71590368,144.9366763
Hallam,Hallam Primary School,-38.00171844,145.2581939
Hallam East,Hallam Gardens Kindergarten,-38.00255705,145.2814854
Hallam Valley,Fleetwood Primary School,-38.03911924,145.3176062
Halls Gap,Halls Gap Community Hall,-37.14055937,142.519202
Hamilton,Monivae College,-37.74102627,142.0494236
Hamilton Central,Hamilton Senior Citizens Clubroom,-37.74085364,142.0244415
Hamilton North,Hamilton North Primary School,-37.72627361,141.9951883
Hamlyn Heights,Western Heights College,-38.12385788,144.3289583
Hampton,Hampton Primary School,-37.93346102,145.003342
Hampton,Hampton Primary School,-37.93346102,145.003342
Hampton Central,Hampton Uniting Church Hall,-37.93970872,145.0044265
Hampton East,Sandringham Youth Club,-37.93995991,145.0179823
Hampton Park,Hampton Park Primary School,-38.03084408,145.2519574
Hampton Park East,River Gum Primary School,-38.03469925,145.2604746
Harcourt,Harcourt Valley Primary School,-37.00265585,144.2574108
Harkaway,Harkaway Primary School,-38.00081795,145.3451352
Harkaway,Harkaway Primary School,-38.00081795,145.3451352
Harrietville,Harrietville Primary School,-36.88773651,147.0648489
Harrisfield,Harrisfield Primary School,-37.95388047,145.1793577
Harrow,Harrow RSL Hall,-37.16645,141.5922
Hartwell,Hartwell Primary School,-37.84800189,145.0839369
Hastings,Hastings Community Hall,-38.30777259,145.1941161
Haven,Haven Memorial Hall,-36.75679808,142.1941173
Hawkesdale,Hawkesdale P-12 College,-38.10676756,142.3193214
Hawksburn,Toorak - South Yarra Library,-37.84003938,144.9994595
Hawksburn Central,Renown Kindergarten,-37.84390012,144.9930174
Hawthorn,Hawthorn West Primary School,-37.8198729,145.0177214
Hazelwood North,Hazelwood North Primary School,-38.26837726,146.4475488
Healesville,Healesville High School,-37.64349569,145.5307584
Healesville Central,Healesville Memorial Hall,-37.65360211,145.5176993
Heany Park,Heany Park Primary School,-37.93399634,145.2427079
Heathcote,Heathcote RSL Hall,-36.92316543,144.7093939
Heatherdale,Heatherdale Pre-School,-37.82045817,145.2086336
Heatherhill,Heatherhill Primary School,-37.96293765,145.1580712
Heatherhill,Heatherhill Primary School,-37.96293765,145.1580712
Heatherton North,St Andrew's Primary School,-37.93469708,145.1068039
Heathmont,Heathmont Uniting Church Hall,-37.82691465,145.2470231
Heathmont East,Heathmont East Primary School,-37.83060522,145.2558903
Heathmont West,Heathmont College,-37.83849593,145.2339097
Heathmont West,Heathmont College,-37.83849593,145.2339097
Heidelberg,Our Lady of Mercy College,-37.7585406,145.0679687
Heidelberg West,St Pius X Parish Hall,-37.7472884,145.0467617
Hepburn Springs,Hepburn Primary School,-37.30952186,144.1324686
Heyfield,Heyfield Memorial Hall,-37.98469269,146.7843176
Heywood,Heywood Senior Citizens Club,-38.13132341,141.6320864
Highett,Sandringham Secondary College - Highett Campus,-37.95152429,145.0212647
Highett South,Highett Neighbourhood Community House,-37.94751018,145.0380899
Highfield,St Dominic's Parish Primary School,-37.83859803,145.0839951
Highton,Highton Primary School,-38.17215544,144.3164689
Highton Central,St Luke's Uniting Church,-38.16920478,144.3104003
Highton North,Montpellier Primary School,-38.16617749,144.3161841
Highvale,Highvale Primary School,-37.86716988,145.1741095
Hillside,Sydenham-Hillside Primary School - Hillside Campus,-37.6865005,144.7364454
Hillsmeade,Hillsmeade Primary School,-38.06441885,145.3078005
Hoddles Creek,Hoddles Creek Primary School,-37.83194384,145.597834
Holloway,Sandringham Secondary College,-37.95694086,145.0236821
Holy Trinity - Eltham North,Holy Trinity Primary School,-37.69780782,145.135493
Homestead,Homestead Senior Secondary College,-37.91565323,144.7687605
Hopetoun,Senior Citizens Clubrooms,-35.72879624,142.3642298
Horsham East,Horsham C.W.A. Hall,-36.71336785,142.2051251
Horsham North,Horsham Primary School - Rasmussen Campus,-36.69709219,142.2054123
Horsham South,Green Park Kindergarten,-36.72691173,142.2086895
Horsham West,Horsham West Primary School,-36.71704921,142.1803507
Hosie,Richmond High School - Gleadell Campus,-37.81751166,145.0016003
Hotham Hill,North Melbourne Community Centre,-37.79331522,144.9404704
Hughesdale,Hughesdale Community Centre,-37.89821297,145.0761763
Hughesdale South,Coatesville Uniting Church Hall,-37.90863647,145.0762134
Hughesdale South,Coatesville Uniting Church Hall,-37.90863647,145.0762134
Hume Central,Hume Central Secondary College - Dimboola Campus,-37.68167974,144.909945
Huntingdale,Oakleigh Occasional Care Centre,-37.90643929,145.111865
Huntly,Huntly Primary School,-36.66255129,144.334642
Hurstbridge,Hurstbridge Primary School,-37.6362539,145.198423
Hyde,Footscray City Primary School,-37.80640907,144.8988396
Hyde,Footscray City Primary School,-37.80640907,144.8988396
Hyde Park,1st Kew Scout Hall,-37.79174947,145.0398352
Indented Head,Indented Head Community Hall,-38.14244651,144.7132885
Inglewood,Inglewood Primary School,-36.57397426,143.8702415
Invergordon,Invergordon Recreation Reserve Public Hall,-36.14996286,145.6105846
Inverleigh,Inverleigh Primary School,-38.10103452,144.0549562
Inverloch,Inverloch Community Hub,-38.63368907,145.7276639
Iramoo,Iramoo Primary School,-37.89545382,144.6270561
Ironbark,Violet Street Primary School,-36.75752963,144.2652277
Irrewillipe East,Irrewillipe Public Hall,-38.41065656,143.4414313
Irymple,Irymple Senior Citizens Centre,-34.23377085,142.168498
Ivanhoe,Ivanhoe Primary School,-37.76627266,145.0415689
Ivanhoe East,St George's Anglican Church,-37.77386442,145.0597658
Ivanhoe West,St Bernadette's School Hall,-37.76281217,145.0347632
Jacksons Hill,Sunbury Primary School,-37.59593024,144.7281926
Jamieson,Jamieson Memorial Hall,-37.30203731,146.1377286
Jamieson Way,Carranballac P-9 College - Jamieson Way Campus,-37.89500156,144.7452078
Jells Park,Jells Park Primary School,-37.90294524,145.1927808
Jeparit,Jeparit Memorial Town Hall,-36.14317295,141.9873047
Jindivick,Jindivick Primary School,-38.02756698,145.9011759
Jobs Gully,Eaglehawk Secondary College,-36.72112181,144.2623506
John Paul College,John Paul College,-38.13793505,145.139083
Johnsonville,Johnsonville Public Hall,-37.82014465,147.8302158
Jordanville South,St Mary Magdalene's Centre,-37.87952115,145.1010318
Junortoun,Bendigo Baptist Church,-36.77018249,144.3459672
Kalinda,Kalinda Primary School,-37.78928887,145.2548864
Kalinda,Kalinda Primary School,-37.78928887,145.2548864
Kallista,Kallista Primary School,-37.88521386,145.3705908
Kananook,Kananook Primary School,-38.12491453,145.1316268
Kangaroo Flat,Crusoe Secondary College,-36.78954804,144.2346636
Kangaroo Flat South,St Monica's Primary School,-36.79482191,144.2454004
Kangaroo Flat South,St Monica's Primary School,-36.79482191,144.2454004
Kangaroo Flat South West,Kangaroo Flat Community and Neighbourhood House,-36.80362994,144.2352366
Kangaroo Ground,Kangaroo Ground Primary School,-37.69158903,145.2139857
Kaniva,Kaniva Wesley Hall,-36.37831477,141.2409857
Kardinia Park,Kardinia Park Senior Citizens Club,-38.16007165,144.3547319
Karingal Heights,Karingal Heights Primary School,-38.14143005,145.166934
Karoo,Karoo Primary School,-37.9053531,145.2637294
Katamatite,Katamatite Sports and Community Hub,-36.07611382,145.6901275
Katandra West,Katandra West Primary School,-36.22579589,145.5602219
Katunga,Katunga Primary School,-35.99896567,145.4553158
Kealba,St Paul's Kealba Catholic School,-37.73393474,144.8192838
Keilor,Keilor Primary School,-37.7169732,144.8357665
Keilor Downs,Keilor Views Primary School,-37.71779457,144.8092674
Keilor East,St Peter's Parish,-37.74462964,144.8586715
Keilor Heights,Keilor Heights Primary School,-37.73752928,144.8662293
Keilor Park,Keilor Park Kindergarten,-37.72067379,144.8579888
Keilor South,Essendon Keilor College - Keilor East Campus,-37.74005002,144.8696537
Kennington,St Therese's Primary School,-36.76684215,144.2980122
Kensington,Kensington Primary School,-37.79283902,144.9276046
Keon Park,Keon Park Children's Hub,-37.70082043,145.021625
Kerang,Kerang Memorial Hall,-35.73455519,143.9172975
Kerang North,Kerang Technical High School - Thornley Hall,-35.72617822,143.9144317
Kerferd South,Middle Park Primary School,-37.84791797,144.9572901
Kergunyah,Kergunyah Memorial Hall,-36.32766804,147.0303277
Kerrimuir,Kerrimuir Primary School,-37.80362286,145.1345547
Kew,Kew Primary School,-37.80470613,145.033041
Kew East,Kew East Uniting Church Hall,-37.79755466,145.0558885
Kew North,Kew East Primary School,-37.79657137,145.0495202
Kew South,Trinity Grammar School,-37.81077934,145.034647
Keysborough Gardens,Keysborough Gardens Primary School,-38.00946446,145.1612295
Keysborough Park,Springers Leisure Centre,-37.99567154,145.154395
Kialla,Kialla Central Primary School,-36.45250036,145.4316812
Kialla West,Kialla West Primary School,-36.46584958,145.3897353
Kidman,Wangala Primary School,-38.18565004,144.3389154
Kilberry Valley,Kilberry Valley Primary School,-38.03359006,145.2796271
Kilcunda,Kilcunda Community Centre,-38.54878776,145.4750541
Kilmore,Assumption College,-37.3020816,144.9478903
Kilsyth,Kilsyth Primary School,-37.802131,145.3152415
Kilsyth South,Gladesville Primary School,-37.81102736,145.3228644
Kinglake,Kinglake Primary School,-37.52142059,145.3560216
Kinglake West,Kinglake West Mechanics Institute Hall,-37.48106073,145.2583069
Kings Park,Copperfield College - Kings Park Campus,-37.73090632,144.771089
Kings Park,Copperfield College - Kings Park Campus,-37.73090632,144.771089
Kings Park,Copperfield College - Kings Park Campus,-37.73090632,144.771089
Kingsbury,Kingsbury Primary School,-37.71624538,145.037335
Kingsley Park,Kingsley Park Primary School,-38.16810624,145.1574169
Kingston Heath,Kingston Heath Primary School,-37.9629013,145.0794983
Kingsville,Kingsville Primary School,-37.8125919,144.8747395
Kingsville South,Wembley Primary School,-37.8210595,144.8745051
Kingsville South,Wembley Primary School,-37.8210595,144.8745051
Kingsville West,Kingsville Kindergarten,-37.80425714,144.8711068
Kingswood,Chadwick Reserve Pavilion,-37.98358755,145.119925
Knight Street,St Brendan's Primary School,-36.37490632,145.4080973
Knox,St Joseph's Primary School,-37.86156387,145.2749805
Knox Gardens,Knox Gardens Primary School,-37.88213029,145.2296395
Knox Park,Knox Park Primary School,-37.88376319,145.2512697
Knoxfield North,Kent Park Primary School,-37.88345437,145.2626255
Kongwak,Kongwak Primary School,-38.51509099,145.7129454
Koo Wee Rup,Koo Wee Rup Community Centre,-38.20053126,145.487657
Koondrook,Barook Senior Citizens Rooms,-35.64125462,144.1304083
Koonung Heights,Box Hill Senior Secondary College,-37.80916059,145.1118434
Koonwarra,Koonwarra Village School,-38.54868439,145.9437195
Koorlong,Koorlong Primary School,-34.27791659,142.085243
Kooyong,Vision Australia Kooyong,-37.83839826,145.032629
Kooyong,Vision Australia Kooyong,-37.83839826,145.032629
Koroit,Koroit Senior Citizens Rooms,-38.29283408,142.3674495
Korumburra,St Paul's Anglican Parish Hall,-38.43581698,145.8226832
Koyuga,Koyuga Public Hall,-36.21881283,144.8918532
Kunyung,Kunyung Primary School,-38.18695571,145.0760762
Kurunjang,Kurunjang Secondary College,-37.67251135,144.5842172
Ky Valley,Kyvalley Public Hall,-36.28395758,145.0058719
Kyabram,Kyabram P-12 College,-36.3179887,145.0560032
Kyneton,Kyneton Toyota Sports-Aquatic Centre,-37.24853966,144.4583398
Kyneton East,Sacred Heart College - Kyneton,-37.25334241,144.4570827
Labertouche,Labertouche Public Hall,-38.04814007,145.8064666
Laburnum,Laburnum Primary School,-37.82714176,145.138746
Laharum,Laharum Public Hall,-36.94636,142.32335
Lake Boga,Lake Boga Community Centre,-35.46500735,143.6302429
Lake Bolac,Lake Bolac Memorial Hall,-37.71321848,142.8398088
Lake Charm,Lake Charm Hall,-35.60889104,143.8024385
Lake Park,Lake Park Kindergarten,-37.73069679,144.9665619
Lakes Entrance,Lakes Entrance Mechanics Institute,-37.88019151,147.9856776
Lakes Entrance East,St Brendan's Catholic Primary School,-37.87341546,148.0120245
Lakeside East,Lakeside Lutheran College,-38.06532355,145.4540425
Lalbert,Lalbert Community Centre,-35.67176047,143.3775724
Lalor,Lalor Secondary College,-37.67190354,145.0311118
Lalor East,Lalor East Primary School,-37.67667434,145.0355076
Lalor North,Lalor North Primary School,-37.66355513,145.0282768
Lalor North East,Lalor North Secondary College,-37.66101308,145.0340618
Lalor North East,Lalor North Secondary College,-37.66101308,145.0340618
Lalor Park,Peter Lalor Secondary College,-37.66673095,145.0127495
Lalor South,Barry Road Community Activity Centre,-37.67160859,144.9975632
Lalor West,Lalor Gardens Primary School,-37.66374452,145.0010641
Lancaster,Lancaster Primary School,-36.31334495,145.1321751
Lancefield,Lancefield Primary School,-37.27468739,144.7263166
Landcox,Gardenvale Primary School - Senior School Campus,-37.90223592,145.0153618
Landsborough,Landsborough Public Hall,-37.00888,143.13401
Lang Lang,Lang Lang Primary School,-38.26305261,145.5694559
Langwarrin,Elisabeth Murdoch College,-38.15837242,145.190227
Langwarrin Hall,Langwarrin Public Hall,-38.15170737,145.1918502
Langwarrin Park,Langwarrin Park Primary School,-38.15080605,145.2026878
Lara,Lara Community Centre,-38.02220605,144.4097782
Lara Central,Lara Hall,-38.02203602,144.3976928
Lara Lake,Lara Lake Primary School,-38.03040545,144.395989
Launching Place,Launching Place Primary School,-37.78268084,145.5709402
Laurimar,Laurimar Primary School,-37.58595322,145.128068
Lavers Hill,Lavers Hill Public Hall,-38.68261783,143.3870792
Laverton,Laverton Community Hub,-37.86522263,144.7687544
