pp_name,premises,latitude,longitude
Baxter,Baxter Primary School,-38.19966978,145.1816611
Bayles,Bayles Hall,-38.1777874,145.5704687
Bayswater,Bayswater Primary School,-37.84277835,145.2596845
Bayswater North,Bayswater North Primary School,-37.82880901,145.2957377
Bayswater South,Bayswater South Primary School,-37.85476069,145.2613259
Bayswater West,Bayswater West Primary School,-37.84931932,145.2524408
Beacon Point,Beacon Point Kindergarten,-38.14877138,144.5753827
Beaconsfield,Beaconsfield Primary School,-38.04809091,145.3720479
Beaconsfield Upper,Beaconsfield Upper Primary School,-37.99639277,145.4155547
Bealiba,Bealiba Primary School,-36.78998371,143.5516968
Beaufort,Beeripmo Development Centre,-37.42793059,143.3840808
Beaumaris,St Michaels Anglican Church Beaumaris,-37.99074458,145.0369664
Beaumaris Central,Beaumaris Secondary College,-37.97829681,145.034257
Beaumaris North,Beaumaris North Primary School,-37.97342464,145.0361264
Beeac,Beeac Primary School,-38.19423759,143.6440803
Beechworth,Beechworth Servicemen's Memorial Hall,-36.35865255,146.6880924
Belgrave,St Thomas More Primary School,-37.90838532,145.3531296
Belgrave South,Belgrave South Primary School,-37.93124764,145.3578339
Bell,Bell Primary School,-37.74706593,144.9910103
Bell,Bell Primary School,-37.74706593,144.9910103
Bell Park,Bell Park North Primary School,-38.10616263,144.3363136
Bell Park South,Nelson Park School,-38.11410322,144.3380425
Bellbrae,Bellbrae Public Hall,-38.33680204,144.2625476
Bellbridge,Central Park Community Centre,-37.87806586,144.7037788
Bellbridge East,Bellbridge Primary School,-37.87045478,144.7102697
Belmont,Roslyn Primary School,-38.17400458,144.330187
Belmont North,Belmont Primary School,-38.17061723,144.3420382
Belmont West,Clairvaux Catholic School Hall,-38.18456292,144.3255726
Belmont West,Clairvaux Catholic School Hall,-38.18456292,144.3255726
Belvedere Park,Seaford Park Primary School,-38.10529495,145.1547865
Belvedere Park,Seaford Park Primary School,-38.10529495,145.1547865
Bena,Bena Public Hall,-38.41159405,145.7623156
Benalla,Benalla Secondary College - Avon Campus,-36.54748037,145.9940809
Benalla West,Benalla Secondary College - Faithful Campus,-36.55296857,145.9637217
Bendigo Central,Bendigo Town Hall,-36.75914149,144.2824855
Bendigo Central,Bendigo Town Hall,-36.75914149,144.2824855
Bendigo East,Bendigo East Public Hall,-36.75482384,144.2947087
Bendigo North,Saint Peter's Catholic Primary School,-36.74412119,144.2721874
Bentleigh,St. Paul's Primary School Bentleigh,-37.92244058,145.0419203
Bentleigh Central,St John's Anglican Church Hall,-37.9202155,145.0512157
Bentleigh East,Bentleigh Secondary College,-37.9269445,145.059591
Bentleigh West,Bentleigh West Primary School,-37.92076135,145.0263639
Berendale,Berendale School,-37.93996016,145.031425
Berendale,Berendale School,-37.93996016,145.031425
Berriwillock,Berriwillock Community Centre,-35.63616057,142.9950829
Berwick,Berwick Secondary College,-38.03074421,145.3657494
Berwick Chase,Berwick Chase Primary School,-38.06771526,145.3472455
Berwick Lodge,Berwick Lodge Primary School,-38.03147448,145.3275611
Berwick Lodge,Berwick Lodge Primary School,-38.03147448,145.3275611
Berwick South,Brentwood Park Primary School,-38.0532111,145.3478203
Bethal,Bethal Primary School,-37.65959991,144.9177199
Bethal,Bethal Primary School,-37.65959991,144.9177199
Bethanga,Bethanga Soldiers Memorial Hall,-36.12404569,147.0982293
Beulah,Beulah Memorial Hall,-35.93894798,142.4208799
Beverford,Beverford Primary School,-35.23282808,143.4785518
Beveridge,Beveridge Primary School - Ambrosia Campus,-37.46878902,144.9564533
Beverley Hills,Beverley Hills Primary School,-37.79609845,145.1593013
Bimbadeen,Bimbadeen Heights Primary School,-37.77485397,145.3213358
Birchip,Birchip Public Hall,-35.98089551,142.9175776
Birregurra,Birregurra Community Health Centre,-38.33643398,143.7862644
Bisinella,Bisinella Community Centre,-38.02589301,144.386922
Bittern,Bittern Primary School,-38.33997911,145.1714099
Black Hill,Black Hill Primary School,-37.54991093,143.8696569
Black Rock,Black Rock Primary School,-37.96996388,145.0215084
Black Rock South,St. Joseph's Primary School - Black Rock,-37.97620767,145.0230347
Blackburn,The Avenue Uniting Church ,-37.82300287,145.1520177
Blackburn,The Avenue Uniting Church ,-37.82300287,145.1520177
Blackburn Lake,Blackburn Lake Primary School,-37.8270147,145.1663364
Blackburn North,Blackburn Primary School,-37.81656549,145.1565933
Blackburn North,Blackburn Primary School,-37.81656549,145.1565933
Blackburn South,St Luke's Roman Catholic Parish Hall,-37.83544366,145.1470395
Blackwood,Blackwood Community Hall,-37.47052516,144.3074995
Blairgowrie,Blairgowrie Community Hall,-38.36385553,144.7841922
Blind Bight,Blind Bight Community Centre,-38.21683578,145.3395953
Blossom Park,Plenty Parklands Primary School,-37.6698715,145.0771033
Blyth,Salvation Army Community Centre - Brunswick,-37.76905934,144.9634036
Boardwalk,Carranballac P-9 College - Boardwalk Campus,-37.88471469,144.7431907
Boisdale,Boisdale Public Hall,-37.88279,146.98818
Boldrewood,Reservoir East Primary School,-37.72096699,145.0217589
Bolinda,Bolinda Primary School,-37.43336579,144.7455247
Bolwarra,Bolwarra Primary School,-38.28166831,141.6148216
Bona Vista,Bona Vista Primary School,-38.21011469,145.9594522
Bonbeach,Bonbeach Primary School,-38.06730672,145.1250339
Bonegilla,Bonegilla Hall,-36.14116455,147.005776
Boneo,Boneo Community Hall,-38.41109777,144.8865433
Bonnie Doon,Bonnie Doon Community Centre,-37.0253313,145.8527878
Boolarra,Boolarra Memorial Hall,-38.37864573,146.2748769
Boort,Boort Resource and Information Centre (BRIC),-36.11661823,143.7266329
Boronia East,Boronia Church of Christ,-37.86230799,145.2897957
Boronia North,Boronia Heights Primary School,-37.84497302,145.2954565
Boronia West,Boronia West Primary School,-37.85897034,145.2785524
Boroondara,Boroondara Park Primary School,-37.78967704,145.0880778
Botanic Ridge,Botanic Ridge Primary School,-38.15000025,145.2888432
Boundary Bend,Boundary Bend Hall,-34.71716058,143.1536107
Bowenvale,Bowenvale Public Hall,-36.9893062,143.710387
Box Hill,St Peter's Anglican Church Hall,-37.81876203,145.127326
Box Hill Central,The Arbour Hall - Box Hill Community Arts Centre,-37.82533994,145.1225635
Box Hill North,Box Hill North Primary School,-37.80081727,145.1234264
Box Hill South,Roberts McCubbin Primary School,-37.83448489,145.1262138
Brandon Park,Brandon Park Primary School,-37.91437688,145.1732173
Branxholme,Branxholme Hall,-37.85724805,141.7963152
Briagolong,Briagolong Mechanics Institute,-37.843336,147.0684493
Briar Hill,Briar Hill Primary School,-37.70816455,145.1152747
Bridgewater,Bridgewater Hall,-36.60291865,143.9448271
Bridport,Albert Park Primary School,-37.84135935,144.9523739
Bright,Bright Senior Citizens Centre,-36.73051326,146.9623113
Brighton,Brighton Primary School,-37.91237595,145.0016876
Brighton Beach,Brighton Beach Primary School,-37.92218651,144.9960686
Brighton East,Melbourne Montessori School,-37.91180769,145.0174413
Brighton High,Brighton Secondary College,-37.92009213,145.0197362
Brim,Brim Memorial Hall,-36.07602704,142.41643
Britannia,St Patrick's Catholic Primary School,-38.13453108,144.3458995
Broadford,Broadford Secondary College,-37.20519587,145.0400973
Broadmeadows,Meadows Primary School,-37.68748981,144.9295595
Broadmeadows North,Hume Central Secondary College - Blair Campus,-37.67946393,144.9318786
Brookfield,Melton Christian College,-37.70103911,144.5596465
Brooklyn,Annunciation Primary School,-37.82132773,144.8478883
Brookside,Brookside College,-37.74639262,144.7363855
Bruce Park,Monash Peninsula Campus,-38.15193992,145.1352581
Brunswick East,Brunswick East Primary School,-37.76525863,144.9793522
Brunswick North,Brunswick North Primary School,-37.76019339,144.9519446
Brunswick North West,Brunswick North West Primary School,-37.7566591,144.9430973
Brunswick North West,Brunswick North West Primary School,-37.7566591,144.9430973
Brunswick South,Temple Park Senior Citizens Centre Brunswick West,-37.77479749,144.9531919
Brunswick South West,Brunswick South West Primary School,-37.77002871,144.9437071
Bruthen,Bruthen Mechanics Hall,-37.70745609,147.8318307
Buangor,Buangor Primary School,-37.36441574,143.1751251
Buchan,Buchan Primary School,-37.49748164,148.1804191
Buckley Park,Buckley Park College,-37.74785806,144.8976749
Buckley Park,Buckley Park College,-37.74785806,144.8976749
Bulla,Jack McKenzie Community Hall,-37.63524253,144.8051693
Bulleen,Bulleen Heights School Pleasant Road Campus,-37.7631941,145.0952069
Bulleen West,Koonarra Hall,-37.77828076,145.0889595
Bullengarook,Macedon Sunbury Specialist School,-37.48690241,144.5167323
Bulmans,Catholic Regional College Melton,-37.67786371,144.5507548
Buln Buln,Buln Buln Primary School,-38.09908947,145.9380271
Bunbartha,Bunbartha Community Centre,-36.21982074,145.3436226
Bundalaguah,Bundalaguah Primary School,-38.02286953,147.011832
Bundalong,Bundalong Hall,-36.03729548,146.172849
Bundeera,Caulfield South Primary School,-37.8952121,145.0310901
Bundoora,Bundoora Secondary College,-37.70734451,145.0618469
Bungaree,Bungaree Mechanics Institute,-37.55859979,143.9930641
Buninyong,Buninyong Primary School,-37.65303915,143.8858587
Bunyip,Bunyip Hall,-38.09836793,145.7212695
Burnside,Burnside Primary School,-37.74586822,144.7528037
Burwood,Alfred Road Kindergarten,-37.85442537,145.0890467
Burwood Central,Wattle Park Primary School,-37.84340966,145.097534
Burwood Central,Wattle Park Primary School,-37.84340966,145.097534
