sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
3101702,0.3412,0.2896,0,0.2896,0.2649,0.028,0.0763,0.6291,0,0,0,0.3709,0,0,0.6243,0.3757
3101703,0.3415,0.2759,0,0.2759,0.2737,0.0284,0.0806,0.62,0,0,0,0.38,0,0,0.6354,0.3646
3101704,0.3389,0.2856,0,0.2856,0.2697,0.0284,0.0773,0.6247,0,0,0,0.3753,0,0,0.6277,0.3723
3101705,0.3361,0.2816,0,0.2816,0.2756,0.0289,0.0777,0.618,0,0,0,0.382,0,0,0.6306,0.3694
3104701,0.3345,0.291,0,0.291,0.28,0.0263,0.0682,0.6299,0,0,0,0.3701,0,0,0.6266,0.3734
3104702,0.3349,0.2979,0,0.2979,0.2771,0.0253,0.0648,0.6326,0,0,0,0.3674,0,0,0.6223,0.3777
3104703,0.3303,0.2735,0,0.2735,0.2986,0.0261,0.0715,0.6117,0,0,0,0.3883,0,0,0.6438,0.3562
3104704,0.3323,0.291,0,0.291,0.2804,0.0272,0.0692,0.6247,0,0,0,0.3753,0,0,0.6259,0.3741
3104705,0.3304,0.2764,0,0.2764,0.2986,0.0255,0.0691,0.6117,0,0,0,0.3883,0,0,0.6427,0.3573
3104707,0.3351,0.2923,0,0.2923,0.2754,0.0275,0.0697,0.6317,0,0,0,0.3683,0,0,0.624,0.376
3104708,0.3323,0.2873,0,0.2873,0.2857,0.0262,0.0685,0.6228,0,0,0,0.3772,0,0,0.6305,0.3695
3104709,0.3361,0.2898,0,0.2898,0.2791,0.027,0.068,0.627,0,0,0,0.373,0,0,0.6278,0.3722
3104710,0.3353,0.2905,0,0.2905,0.2795,0.0267,0.068,0.6285,0,0,0,0.3715,0,0,0.6273,0.3727
3104711,0.3336,0.2856,0,0.2856,0.2814,0.0275,0.0719,0.6273,0,0,0,0.3727,0,0,0.6296,0.3704
3104712,0.3404,0.2954,0,0.2954,0.2664,0.0274,0.0704,0.6332,0,0,0,0.3668,0,0,0.6203,0.3797
3104713,0.334,0.2902,0,0.2902,0.2788,0.0273,0.0696,0.6279,0,0,0,0.3721,0,0,0.6263,0.3737
3104714,0.335,0.2976,0,0.2976,0.2731,0.0269,0.0674,0.6331,0,0,0,0.3669,0,0,0.6203,0.3797
3104715,0.3331,0.2867,0,0.2867,0.2842,0.0266,0.0693,0.6254,0,0,0,0.3746,0,0,0.6306,0.3694
3104716,0.334,0.2933,0,0.2933,0.2772,0.0266,0.0689,0.629,0,0,0,0.371,0,0,0.6257,0.3743
3104717,0.331,0.2881,0,0.2881,0.2849,0.0266,0.0694,0.622,0,0,0,0.378,0,0,0.6307,0.3693
3104718,0.3302,0.2894,0,0.2894,0.2805,0.0285,0.0714,0.6186,0,0,0,0.3814,0,0,0.6269,0.3731
3104719,0.3317,0.2898,0,0.2898,0.2847,0.0252,0.0685,0.6242,0,0,0,0.3758,0,0,0.6292,0.3708
3104720,0.3316,0.2849,0,0.2849,0.2873,0.0259,0.0703,0.6208,0,0,0,0.3792,0,0,0.6329,0.3671
3104721,0.3313,0.2852,0,0.2852,0.2893,0.0247,0.0696,0.6222,0,0,0,0.3778,0,0,0.6339,0.3661
3104722,0.3321,0.2911,0,0.2911,0.2818,0.0261,0.0688,0.6255,0,0,0,0.3745,0,0,0.6272,0.3728
3104723,0.3337,0.2909,0,0.2909,0.2801,0.0262,0.069,0.6278,0,0,0,0.3722,0,0,0.6271,0.3729
3104724,0.333,0.2897,0,0.2897,0.2817,0.026,0.0696,0.6267,0,0,0,0.3733,0,0,0.628,0.372
3104725,0.3327,0.29,0,0.29,0.279,0.0277,0.0706,0.6266,0,0,0,0.3734,0,0,0.6254,0.3746
3104802,0.3425,0.2753,0,0.2753,0.2757,0.0287,0.0778,0.6231,0,0,0,0.3769,0,0,0.6382,0.3618
3104803,0.3418,0.2865,0,0.2865,0.2695,0.0281,0.0741,0.629,0,0,0,0.371,0,0,0.6292,0.3708
3104804,0.3427,0.2843,0,0.2843,0.2719,0.0276,0.0735,0.6305,0,0,0,0.3695,0,0,0.6315,0.3685
3104805,0.3413,0.2864,0,0.2864,0.27,0.0279,0.0744,0.6298,0,0,0,0.3702,0,0,0.6286,0.3714
3104807,0.3511,0.2791,0,0.2791,0.2673,0.0267,0.0758,0.6348,0,0,0,0.3652,0,0,0.6364,0.3636
3104808,0.3512,0.2746,0,0.2746,0.2676,0.0281,0.0784,0.6302,0,0,0,0.3698,0,0,0.6384,0.3616
3104809,0.3499,0.2846,0,0.2846,0.2657,0.0265,0.0733,0.6371,0,0,0,0.3629,0,0,0.6323,0.3677
3104810,0.3457,0.284,0,0.284,0.2705,0.0272,0.0726,0.6309,0,0,0,0.3691,0,0,0.6337,0.3663
3104811,0.3433,0.2907,0,0.2907,0.2651,0.0278,0.0732,0.6328,0,0,0,0.3672,0,0,0.6254,0.3746
3104814,0.3398,0.2762,0,0.2762,0.2792,0.0283,0.0766,0.6194,0,0,0,0.3806,0,0,0.6383,0.3617
3104815,0.3432,0.2947,0,0.2947,0.2616,0.0275,0.073,0.6358,0,0,0,0.3642,0,0,0.6218,0.3782
3104816,0.3335,0.2813,0,0.2813,0.2781,0.0302,0.0768,0.6136,0,0,0,0.3864,0,0,0.631,0.369
3104817,0.3418,0.2872,0,0.2872,0.2708,0.0274,0.0728,0.6304,0,0,0,0.3696,0,0,0.629,0.371
3104818,0.3364,0.2781,0,0.2781,0.2792,0.0291,0.0771,0.6163,0,0,0,0.3837,0,0,0.6346,0.3654
3104903,0.3346,0.2899,0,0.2899,0.2783,0.0285,0.0687,0.6233,0,0,0,0.3767,0,0,0.6264,0.3736
3104904,0.3418,0.2803,0,0.2803,0.278,0.0272,0.0726,0.6263,0,0,0,0.3737,0,0,0.6351,0.3649
3104905,0.3433,0.3056,0,0.3056,0.2562,0.0273,0.0676,0.641,0,0,0,0.359,0,0,0.6125,0.3875
3104906,0.3377,0.2892,0,0.2892,0.277,0.0276,0.0685,0.6266,0,0,0,0.3734,0,0,0.6284,0.3716
