sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
3111302,0.2872,0.3214,0.0,0.3214,0.3087,0.0355,0.0473,0.0,0.4267,0.0,0.4267,0.5733,0.0,0.0,0.5862,0.4138
3111303,0.2881,0.3265,0.0,0.3265,0.3066,0.0336,0.0453,0.0,0.4308,0.0,0.4308,0.5692,0.0,0.0,0.5823,0.4177
3111304,0.2878,0.3333,0.0,0.3333,0.2982,0.0343,0.0464,0.0,0.4393,0.0,0.4393,0.5607,0.0,0.0,0.574,0.426
3111305,0.2812,0.3324,0.0,0.3324,0.2994,0.0374,0.0496,0.0,0.4366,0.0,0.4366,0.5634,0.0,0.0,0.5694,0.4306
3111306,0.2868,0.3343,0.0,0.3343,0.2999,0.0335,0.0455,0.0,0.4391,0.0,0.4391,0.5609,0.0,0.0,0.572,0.428
3111307,0.28,0.3309,0.0,0.3309,0.3061,0.035,0.0481,0.0,0.4334,0.0,0.4334,0.5666,0.0,0.0,0.5703,0.4297
3111308,0.2809,0.3349,0.0,0.3349,0.3019,0.0351,0.0472,0.0,0.4371,0.0,0.4371,0.5629,0.0,0.0,0.5676,0.4324
3111309,0.2916,0.3388,0.0,0.3388,0.2914,0.0331,0.0451,0.0,0.448,0.0,0.448,0.552,0.0,0.0,0.5693,0.4307
3111310,0.2821,0.3366,0.0,0.3366,0.3028,0.0326,0.0459,0.0,0.439,0.0,0.439,0.561,0.0,0.0,0.5668,0.4332
3111401,0.289,0.3439,0.0,0.3439,0.2915,0.0327,0.0429,0.0,0.4465,0.0,0.4465,0.5535,0.0,0.0,0.5649,0.4351
3111402,0.285,0.3382,0.0,0.3382,0.2957,0.0346,0.0465,0.0,0.4422,0.0,0.4422,0.5578,0.0,0.0,0.566,0.434
3111403,0.2881,0.344,0.0,0.344,0.2914,0.0327,0.0437,0.0,0.4479,0.0,0.4479,0.5521,0.0,0.0,0.5634,0.4366
3111404,0.2881,0.339,0.0,0.339,0.294,0.0339,0.0451,0.0,0.444,0.0,0.444,0.556,0.0,0.0,0.5684,0.4316
3111405,0.2843,0.3387,0.0,0.3387,0.2956,0.0347,0.0466,0.0,0.4421,0.0,0.4421,0.5579,0.0,0.0,0.566,0.434
3111406,0.2898,0.3319,0.0,0.3319,0.2912,0.0387,0.0483,0.0,0.4442,0.0,0.4442,0.5558,0.0,0.0,0.5733,0.4267
3111407,0.2878,0.3443,0.0,0.3443,0.2904,0.0332,0.0443,0.0,0.4482,0.0,0.4482,0.5518,0.0,0.0,0.5626,0.4374
3111408,0.2812,0.3451,0.0,0.3451,0.2945,0.0339,0.0453,0.0,0.4435,0.0,0.4435,0.5565,0.0,0.0,0.5587,0.4413
3111409,0.2915,0.3436,0.0,0.3436,0.287,0.0339,0.044,0.0,0.4511,0.0,0.4511,0.5489,0.0,0.0,0.5646,0.4354
3111410,0.2872,0.3395,0.0,0.3395,0.2926,0.0351,0.0456,0.0,0.4445,0.0,0.4445,0.5555,0.0,0.0,0.5674,0.4326
3111411,0.2885,0.3357,0.0,0.3357,0.2929,0.0361,0.0468,0.0,0.4434,0.0,0.4434,0.5566,0.0,0.0,0.5708,0.4292
3111412,0.2838,0.3408,0.0,0.3408,0.2941,0.0351,0.0462,0.0,0.4425,0.0,0.4425,0.5575,0.0,0.0,0.564,0.436
3111413,0.2818,0.3398,0.0,0.3398,0.2967,0.0347,0.047,0.0,0.4411,0.0,0.4411,0.5589,0.0,0.0,0.5635,0.4365
3111501,0.2891,0.3271,0.0,0.3271,0.3062,0.0335,0.0442,0.0,0.4366,0.0,0.4366,0.5634,0.0,0.0,0.5847,0.4153
3111502,0.2824,0.3109,0.0,0.3109,0.3308,0.0326,0.0432,0.0,0.4094,0.0,0.4094,0.5906,0.0,0.0,0.6017,0.3983
3111503,0.2849,0.3183,0.0,0.3183,0.3181,0.0337,0.0451,0.0,0.4226,0.0,0.4226,0.5774,0.0,0.0,0.5931,0.4069
