sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
1117201,0.1838,0.4549,0.0,0.4549,0.134,0.0548,0.1726,0.3776,0.6224,0.0,0.6224,0.0,0.0,0.0,0.3776,0.6224
1117202,0.1886,0.4449,0.0,0.4449,0.1338,0.0549,0.1777,0.3895,0.6105,0.0,0.6105,0.0,0.0,0.0,0.3895,0.6105
1117203,0.1875,0.4496,0.0,0.4496,0.1305,0.0556,0.1768,0.384,0.616,0.0,0.616,0.0,0.0,0.0,0.384,0.616
1117204,0.1853,0.4435,0.0,0.4435,0.138,0.0567,0.1765,0.3843,0.6157,0.0,0.6157,0.0,0.0,0.0,0.3843,0.6157
1117205,0.1852,0.4515,0.0,0.4515,0.1413,0.0517,0.1703,0.3858,0.6142,0.0,0.6142,0.0,0.0,0.0,0.3858,0.6142
1117206,0.1869,0.4525,0.0,0.4525,0.134,0.0539,0.1727,0.3835,0.6165,0.0,0.6165,0.0,0.0,0.0,0.3835,0.6165
1117207,0.191,0.4326,0.0,0.4326,0.1523,0.0502,0.1739,0.4031,0.5969,0.0,0.5969,0.0,0.0,0.0,0.4031,0.5969
1117208,0.1899,0.4421,0.0,0.4421,0.1449,0.0509,0.1723,0.3946,0.6054,0.0,0.6054,0.0,0.0,0.0,0.3946,0.6054
1117209,0.1902,0.4335,0.0,0.4335,0.1415,0.0557,0.1791,0.3988,0.6012,0.0,0.6012,0.0,0.0,0.0,0.3988,0.6012
1117210,0.192,0.43,0.0,0.43,0.1373,0.0567,0.184,0.3991,0.6009,0.0,0.6009,0.0,0.0,0.0,0.3991,0.6009
1117211,0.189,0.4316,0.0,0.4316,0.1388,0.0574,0.1831,0.3948,0.6052,0.0,0.6052,0.0,0.0,0.0,0.3948,0.6052
1117212,0.1839,0.4503,0.0,0.4503,0.1372,0.0553,0.1732,0.3805,0.6195,0.0,0.6195,0.0,0.0,0.0,0.3805,0.6195
1117213,0.1954,0.4289,0.0,0.4289,0.1549,0.0481,0.1727,0.4091,0.5909,0.0,0.5909,0.0,0.0,0.0,0.4091,0.5909
1117214,0.1884,0.4399,0.0,0.4399,0.1528,0.0492,0.1697,0.3992,0.6008,0.0,0.6008,0.0,0.0,0.0,0.3992,0.6008
1117215,0.1909,0.4356,0.0,0.4356,0.1504,0.0503,0.1728,0.4019,0.5981,0.0,0.5981,0.0,0.0,0.0,0.4019,0.5981
1117216,0.1954,0.4287,0.0,0.4287,0.157,0.048,0.1709,0.4105,0.5895,0.0,0.5895,0.0,0.0,0.0,0.4105,0.5895
1117217,0.1948,0.4304,0.0,0.4304,0.1553,0.0483,0.1713,0.4089,0.5911,0.0,0.5911,0.0,0.0,0.0,0.4089,0.5911
1117218,0.1959,0.4266,0.0,0.4266,0.1579,0.0477,0.1718,0.4118,0.5882,0.0,0.5882,0.0,0.0,0.0,0.4118,0.5882
1117219,0.1758,0.4883,0.0,0.4883,0.1188,0.054,0.1631,0.3553,0.6447,0.0,0.6447,0.0,0.0,0.0,0.3553,0.6447
1117220,0.1883,0.4448,0.0,0.4448,0.1414,0.0517,0.1738,0.3908,0.6092,0.0,0.6092,0.0,0.0,0.0,0.3908,0.6092
1117222,0.1851,0.4509,0.0,0.4509,0.1406,0.0528,0.1706,0.3863,0.6137,0.0,0.6137,0.0,0.0,0.0,0.3863,0.6137
1117224,0.1887,0.4234,0.0,0.4234,0.1488,0.0545,0.1847,0.4036,0.5964,0.0,0.5964,0.0,0.0,0.0,0.4036,0.5964
1117225,0.1913,0.4312,0.0,0.4312,0.1505,0.051,0.176,0.4017,0.5983,0.0,0.5983,0.0,0.0,0.0,0.4017,0.5983
1117226,0.1897,0.4471,0.0,0.4471,0.1405,0.0517,0.171,0.39,0.61,0.0,0.61,0.0,0.0,0.0,0.39,0.61
1117227,0.187,0.4491,0.0,0.4491,0.135,0.0548,0.1742,0.3843,0.6157,0.0,0.6157,0.0,0.0,0.0,0.3843,0.6157
1117228,0.1866,0.4553,0.0,0.4553,0.1326,0.0536,0.172,0.3808,0.6192,0.0,0.6192,0.0,0.0,0.0,0.3808,0.6192
1117229,0.1923,0.4301,0.0,0.4301,0.1373,0.0546,0.1856,0.3967,0.6033,0.0,0.6033,0.0,0.0,0.0,0.3967,0.6033
1117230,0.1784,0.4445,0.0,0.4445,0.1358,0.059,0.1823,0.3845,0.6155,0.0,0.6155,0.0,0.0,0.0,0.3845,0.6155
1117231,0.1864,0.443,0.0,0.443,0.1333,0.0568,0.1806,0.3869,0.6131,0.0,0.6131,0.0,0.0,0.0,0.3869,0.6131
1117232,0.1837,0.4595,0.0,0.4595,0.1316,0.0543,0.1709,0.3765,0.6235,0.0,0.6235,0.0,0.0,0.0,0.3765,0.6235
1117233,0.1864,0.4498,0.0,0.4498,0.1315,0.0556,0.1766,0.3839,0.6161,0.0,0.6161,0.0,0.0,0.0,0.3839,0.6161
1117234,0.1931,0.4271,0.0,0.4271,0.1412,0.055,0.1836,0.4015,0.5985,0.0,0.5985,0.0,0.0,0.0,0.4015,0.5985
1117235,0.1935,0.4316,0.0,0.4316,0.1361,0.055,0.1837,0.3991,0.6009,0.0,0.6009,0.0,0.0,0.0,0.3991,0.6009
1117301,0.1983,0.4259,0.0,0.4259,0.1353,0.0543,0.1861,0.401,0.599,0.0,0.599,0.0,0.0,0.0,0.401,0.599
1117302,0.194,0.4434,0.0,0.4434,0.1287,0.0571,0.1767,0.3866,0.6134,0.0,0.6134,0.0,0.0,0.0,0.3866,0.6134
1117303,0.1964,0.42,0.0,0.42,0.1312,0.0582,0.1941,0.3989,0.6011,0.0,0.6011,0.0,0.0,0.0,0.3989,0.6011
1117304,0.1938,0.4319,0.0,0.4319,0.1315,0.0595,0.1833,0.3913,0.6087,0.0,0.6087,0.0,0.0,0.0,0.3913,0.6087
1117305,0.1921,0.4436,0.0,0.4436,0.1265,0.0584,0.1795,0.3839,0.6161,0.0,0.6161,0.0,0.0,0.0,0.3839,0.6161
1117306,0.1928,0.4274,0.0,0.4274,0.1269,0.059,0.1939,0.393,0.607,0.0,0.607,0.0,0.0,0.0,0.393,0.607
1117307,0.1967,0.4215,0.0,0.4215,0.1279,0.058,0.1959,0.3989,0.6011,0.0,0.6011,0.0,0.0,0.0,0.3989,0.6011
1117308,0.1898,0.438,0.0,0.438,0.1226,0.0588,0.1908,0.3869,0.6131,0.0,0.6131,0.0,0.0,0.0,0.3869,0.6131
1117309,0.1987,0.4251,0.0,0.4251,0.1246,0.0563,0.1953,0.3974,0.6026,0.0,0.6026,0.0,0.0,0.0,0.3974,0.6026
1117310,0.1946,0.4169,0.0,0.4169,0.1402,0.0576,0.1906,0.4051,0.5949,0.0,0.5949,0.0,0.0,0.0,0.4051,0.5949
1117311,0.1918,0.4329,0.0,0.4329,0.1394,0.0546,0.1814,0.3963,0.6037,0.0,0.6037,0.0,0.0,0.0,0.3963,0.6037
1117312,0.1944,0.4249,0.0,0.4249,0.1379,0.0564,0.1865,0.3995,0.6005,0.0,0.6005,0.0,0.0,0.0,0.3995,0.6005
1117313,0.1967,0.421,0.0,0.421,0.1345,0.0568,0.1909,0.4021,0.5979,0.0,0.5979,0.0,0.0,0.0,0.4021,0.5979
1117314,0.1954,0.4335,0.0,0.4335,0.1277,0.057,0.1864,0.3921,0.6079,0.0,0.6079,0.0,0.0,0.0,0.3921,0.6079
1117315,0.1945,0.4396,0.0,0.4396,0.1297,0.0574,0.1788,0.3883,0.6117,0.0,0.6117,0.0,0.0,0.0,0.3883,0.6117
1117316,0.1955,0.4373,0.0,0.4373,0.1355,0.055,0.1768,0.393,0.607,0.0,0.607,0.0,0.0,0.0,0.393,0.607
1117317,0.1967,0.4355,0.0,0.4355,0.1282,0.0576,0.1819,0.3906,0.6094,0.0,0.6094,0.0,0.0,0.0,0.3906,0.6094
1117318,0.194,0.4474,0.0,0.4474,0.1263,0.0556,0.1766,0.384,0.616,0.0,0.616,0.0,0.0,0.0,0.384,0.616
1117319,0.1969,0.433,0.0,0.433,0.1296,0.0568,0.1837,0.3934,0.6066,0.0,0.6066,0.0,0.0,0.0,0.3934,0.6066
1117320,0.1922,0.4434,0.0,0.4434,0.1346,0.0549,0.1749,0.3891,0.6109,0.0,0.6109,0.0,0.0,0.0,0.3891,0.6109
1117321,0.193,0.4498,0.0,0.4498,0.1289,0.055,0.1733,0.3838,0.6162,0.0,0.6162,0.0,0.0,0.0,0.3838,0.6162
1117322,0.1991,0.4295,0.0,0.4295,0.1309,0.0568,0.1837,0.3961,0.6039,0.0,0.6039,0.0,0.0,0.0,0.3961,0.6039
1117323,0.1921,0.451,0.0,0.451,0.1264,0.0557,0.1747,0.3813,0.6187,0.0,0.6187,0.0,0.0,0.0,0.3813,0.6187
1117324,0.1982,0.4207,0.0,0.4207,0.1301,0.0585,0.1925,0.4003,0.5997,0.0,0.5997,0.0,0.0,0.0,0.4003,0.5997
1117325,0.1905,0.4535,0.0,0.4535,0.1213,0.0569,0.1777,0.3784,0.6216,0.0,0.6216,0.0,0.0,0.0,0.3784,0.6216
1117326,0.1966,0.4154,0.0,0.4154,0.1429,0.0569,0.1882,0.4067,0.5933,0.0,0.5933,0.0,0.0,0.0,0.4067,0.5933
1117401,0.1895,0.45,0.0,0.45,0.1412,0.0511,0.1683,0.3903,0.6097,0.0,0.6097,0.0,0.0,0.0,0.3903,0.6097
1117402,0.1843,0.4519,0.0,0.4519,0.149,0.0505,0.1643,0.3872,0.6128,0.0,0.6128,0.0,0.0,0.0,0.3872,0.6128
