sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
1117709,0.1448,0.4216,0.0,0.4216,0.0445,0.0703,0.3189,0.0,0.5984,0.0,0.5984,0.0,0.0,0.4016,0.3407,0.6593
1117710,0.1374,0.4599,0.0,0.4599,0.06,0.0715,0.2711,0.0,0.5971,0.0,0.5971,0.0,0.0,0.4029,0.3309,0.6691
1117711,0.1465,0.4148,0.0,0.4148,0.1044,0.0682,0.2661,0.0,0.5895,0.0,0.5895,0.0,0.0,0.4105,0.3637,0.6363
1117712,0.1418,0.4235,0.0,0.4235,0.0514,0.0711,0.3123,0.0,0.6057,0.0,0.6057,0.0,0.0,0.3943,0.3374,0.6626
1117803,0.1495,0.4934,0.0,0.4934,0.0489,0.0651,0.243,0.0,0.6786,0.0,0.6786,0.0,0.0,0.3214,0.3026,0.6974
1117804,0.1478,0.4754,0.0,0.4754,0.0544,0.067,0.2553,0.0,0.6556,0.0,0.6556,0.0,0.0,0.3444,0.3194,0.6806
1117806,0.1619,0.4889,0.0,0.4889,0.0406,0.0799,0.2287,0.0,0.7033,0.0,0.7033,0.0,0.0,0.2967,0.3015,0.6985
1117807,0.1699,0.4554,0.0,0.4554,0.047,0.0822,0.2455,0.0,0.6613,0.0,0.6613,0.0,0.0,0.3387,0.3324,0.6676
1117808,0.1503,0.4734,0.0,0.4734,0.0577,0.066,0.2526,0.0,0.6611,0.0,0.6611,0.0,0.0,0.3389,0.3217,0.6783
1117809,0.1548,0.4779,0.0,0.4779,0.056,0.0651,0.2462,0.0,0.6717,0.0,0.6717,0.0,0.0,0.3283,0.3139,0.6861
1117810,0.1558,0.3794,0.0,0.3794,0.1158,0.0736,0.2754,0.0,0.6276,0.0,0.6276,0.0,0.0,0.3724,0.3803,0.6197
1117811,0.1589,0.4436,0.0,0.4436,0.0545,0.0772,0.2659,0.0,0.6753,0.0,0.6753,0.0,0.0,0.3247,0.3243,0.6757
